ID,TEMP,HUM_AIRE,HUM_SUELO_1,HUM_SUELO_2,LUZ,GAS,RIEGO_1,RIEGO_2
1,28,60,45,50,450,130,0,0
2,28,60,45,50,450,130,0,0
3,28,20,45,50,450,130,0,0
4,28,60,45,50,450,130,0,0
5,5,60,45,50,450,130,1,0
6,28,60,45,50,450,300,0,0
7,28,60,45,50,950,130,0,0
8,28,60,45,15,450,130,0,0
9,28,60,45,50,450,130,0,0
10,28,60,10,50,450,130,0,1
11,28,60,45,50,450,130,0,0
12,55,60,45,50,450,130,0,0
13,28,60,45,50,450,130,0,0
14,28,60,45,50,90,130,0,0
15,28,60,45,50,450,130,1,0
16,28,60,45,85,450,130,0,0
17,28,60,45,50,450,130,0,0
18,28,95,45,50,450,130,0,0
19,28,60,45,50,450,310,0,0
20,28,60,90,50,450,130,0,1
21,28,60,45,50,1000,130,0,0
22,60,60,45,50,450,130,0,0
23,28,60,45,50,450,130,0,0
24,28,60,45,10,450,130,0,0
25,28,15,45,50,450,130,1,0
26,28,60,45,50,450,130,0,0
27,8,60,45,50,450,130,0,0
28,28,60,45,50,450,40,0,0
29,28,60,45,50,450,130,0,0
30,28,60,45,50,80,130,0,1
$
