ID,TEMP,HUM_AIRE,HUM_SUELO_1,HUM_SUELO_2,LUZ,GAS,RIEGO_1,RIEGO_2
1,59,89,79,69,788,197,0,0
2,58,88,78,68,776,194,0,0
3,57,87,77,67,764,191,1,0
4,56,86,76,66,752,188,0,1
5,55,85,75,65,740,185,0,0
6,54,84,74,64,728,182,1,0
7,53,83,73,63,716,179,0,0
8,52,82,72,62,704,176,0,1
9,51,81,71,61,692,173,1,0
10,50,80,70,60,680,170,0,0
11,49,79,69,59,668,167,0,0
12,48,78,68,58,656,164,1,1
13,47,77,67,57,644,161,0,0
14,46,76,66,56,632,158,0,0
15,45,75,65,55,620,155,1,0
16,44,74,64,54,608,152,0,1
17,43,73,63,53,596,149,0,0
18,42,72,62,52,584,146,1,0
19,41,71,61,51,572,143,0,0
20,40,70,60,50,560,140,0,1
21,39,69,59,49,548,137,1,0
22,38,68,58,48,536,134,0,0
23,37,67,57,47,524,131,0,0
24,36,66,56,46,512,128,1,1
25,35,65,55,45,500,125,0,0
26,34,64,54,44,488,122,0,0
27,33,63,53,43,476,119,1,0
28,32,62,52,42,464,116,0,1
29,31,61,51,41,452,113,0,0
30,30,60,50,40,440,110,1,0
$
