ID,TEMP,HUM_AIRE,HUM_SUELO_1,HUM_SUELO_2,LUZ,GAS,RIEGO_1,RIEGO_2
1,21,41,26,36,215,83,1,0
2,22,42,27,37,230,86,0,0
3,23,43,28,38,245,89,1,0
4,24,44,29,39,260,92,0,0
5,25,45,30,40,275,95,1,1
6,26,46,31,41,290,98,0,0
7,27,47,32,42,305,101,1,0
8,28,48,33,43,320,104,0,0
9,29,49,34,44,335,107,1,0
10,30,50,35,45,350,110,0,1
11,31,51,36,46,365,113,1,0
12,32,52,37,47,380,116,0,0
13,33,53,38,48,395,119,1,0
14,34,54,39,49,410,122,0,0
15,35,55,40,50,425,125,1,1
16,36,56,41,51,440,128,0,0
17,37,57,42,52,455,131,1,0
18,38,58,43,53,470,134,0,0
19,39,59,44,54,485,137,1,0
20,40,60,45,55,500,140,0,1
21,41,61,46,56,515,143,1,0
22,42,62,47,57,530,146,0,0
23,43,63,48,58,545,149,1,0
24,44,64,49,59,560,152,0,0
25,45,65,50,60,575,155,1,1
26,46,66,51,61,590,158,0,0
27,47,67,52,62,605,161,1,0
28,48,68,53,63,620,164,0,0
29,49,69,54,64,635,167,1,0
30,50,70,55,65,650,170,0,1
$
